,park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,lat,lon
36,ARCADE,Arcade  #1,"southwest corner, on forrestville",11144 S ST LAWRENCE AVE,7.94,5/9/17,,,2,6/27/17,,,,,16.6,14,23,41.7682822,-87.6104926
37,ARCHER (WILLIAM BEATTY),Archer  #1 - High,"on kilbourn, southwest of northwest diamond",4901 S KILBOURN AVE,2,4/24/17,,,,,,,,,0.731,,,41.8034779,-87.73513253
38,ARCHER (WILLIAM BEATTY),Archer  #1 - Low,"on kilbourn, southwest of northwest diamond",4901 S KILBOURN AVE,2,4/24/17,,,,,,,,,1.2,,,41.8034779,-87.73513253
39,ARCHER (WILLIAM BEATTY),Archer  #2,north of parking lot,4901 S KILBOURN AVE,2,4/24/17,,,2,6/9/17,,,,,38,35,2.4,41.8034779,-87.73513253
40,ARCHER (WILLIAM BEATTY),Archer  #3 - High,"east side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,2,4/24/17,,,,,,,,,1.5,,,41.8034779,-87.73513253
41,ARCHER (WILLIAM BEATTY),Archer  #3 - Middle,"east side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,2,4/24/17,,,,,,,,,1.53,,,41.8034779,-87.73513253
42,ARCHER (WILLIAM BEATTY),Archer  #3 - Low,"east side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,2,4/24/17,,,,,,,,,1.57,,,41.8034779,-87.73513253
43,ARCHER (WILLIAM BEATTY),Archer  #4,"3rd base line of senior diamond, on kilbourn",4901 S KILBOURN AVE,2,4/24/17,,,,,,,,,1.18,,,41.8034779,-87.73513253
44,ARMOUR (PHILIP) SQUARE,Armour Square #1,pool deck,3309 S SHIELDS AVE,2,6/16/17,,,2,7/8/17,,,,,0.167,,,41.834244,-87.63503827
45,ARMOUR (PHILIP) SQUARE,Armour Square #2 - High,south of playlot entrance,3309 S SHIELDS AVE,2,4/14/17,,,,,,,,,1.53,,,41.834244,-87.63503827
46,ARMOUR (PHILIP) SQUARE,Armour Square #2 - Middle,south of playlot entrance,3309 S SHIELDS AVE,2,4/14/17,,,,,,,,,3.81,,,41.834244,-87.63503827
