,park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,lat,lon
413,DOUGLAS (STEPHEN),Douglas  #8,"104' west of california, 16' north of 18th street",1401 S SACRAMENTO,2,4/8/17,,,,,,,,,3.39,,,41.88964985,-87.70089385
414,DOUGLAS (STEPHEN),Douglas  #9,"36' east of sacremento, east of turf football field",1401 S SACRAMENTO,11.2,4/8/17,,,26.9,7/17/17,,,,,16.6,48,10,41.88964985,-87.70089385
415,DOUGLAS (STEPHEN),Douglas  #10 - High,south of football field comfort station,1401 S SACRAMENTO,2,4/8/17,,,,,,,,,9.22,,,41.88964985,-87.70089385
416,DOUGLAS (STEPHEN),Douglas  #10 - Middle,south of football field comfort station,1401 S SACRAMENTO,2,4/8/17,,,,,,,,,9.96,,,41.88964985,-87.70089385
417,DOUGLAS (STEPHEN),Douglas  #10 - Low,south of football field comfort station,1401 S SACRAMENTO,2,4/8/17,,,,,,,,,9.09,,,41.88964985,-87.70089385
418,DREXEL (FRANCIS),Drexel  #1,"69th pl and damen, entrance",6931 S DAMEN AVE,4,4/6/17,,,2.12,6/29/17,,,,,70,44,4.9,41.8453555,-87.6756524
419,DUBKIN (LEONARD),Dubkin  #1 - High,center of park,7442 N ASHLAND Blvd,2,4/22/17,,,,,,,,,2,,,42.006622,-87.6699847
420,DUBKIN (LEONARD),Dubkin  #1 - Low,center of park,7442 N ASHLAND Blvd,2,4/22/17,,,,,,,,,2,,,42.006622,-87.6699847
421,DUNBAR (PAUL LAURENCE),Dunbar  #1,northwest corner of park,300 E 31ST ST,9.16,4/18/17,,,228,7/22/17,,,,,130,,,41.8385473,-87.6102397
422,DUNBAR (PAUL LAURENCE),Dunbar  #2,northeast corner of park,300 E 31ST ST,2,4/18/17,,,,,,,,,2,,,41.8385473,-87.6102397
423,DUNBAR (PAUL LAURENCE),Dunbar  #3,northwest corner of basketball court,300 E 31ST ST,933,4/18/17,2,5/25/17,9.59,7/22/17,2,6/29/17,,,26,,,41.8385473,-87.6102397
424,DUNBAR (PAUL LAURENCE),Dunbar  #4 - High,"on running track, southeast corner of park",300 E 31ST ST,2,4/18/17,,,,,,,,,2,,,41.8385473,-87.6102397
425,DUNBAR (PAUL LAURENCE),Dunbar  #4 - Middle,"on running track, southeast corner of park",300 E 31ST ST,2,4/18/17,,,,,,,,,2,,,41.8385473,-87.6102397
426,DUNBAR (PAUL LAURENCE),Dunbar  #4 - Low,"on running track, southeast corner of park",300 E 31ST ST,2,4/18/17,,,,,,,,,2,,,41.8385473,-87.6102397
427,DUNBAR (PAUL LAURENCE),Dunbar  #5 - High,"in playground area, southwest corner of park",300 E 31ST ST,2,4/18/17,,,,,,,,,2,,,41.8385473,-87.6102397
428,DUNBAR (PAUL LAURENCE),Dunbar  #5 - Middle,"in playground area, southwest corner of park",300 E 31ST ST,2,4/18/17,,,,,,,,,2,,,41.8385473,-87.6102397
429,DUNBAR (PAUL LAURENCE),Dunbar  #5 - Low,"in playground area, southwest corner of park",300 E 31ST ST,2,4/18/17,,,,,,,,,2,,,41.8385473,-87.6102397
430,DUNHAM (ROBERT),Dunham  #1,"west end of park, on sidewalk on giddings",4640 N MELVINA AVE,2.32,4/5/17,,,9.88,8/8/17,6,8/8/17,,,30.5,27.3,5.37,41.96587575,-87.7825277
431,DUNHAM (ROBERT),Dunham  #2,east path on giddings,4640 N MELVINA AVE,2,4/5/17,,,23,8/8/17,17,8/8/17,,,21.9,39.2,4.03,41.96587575,-87.7825277
432,DUNHAM (ROBERT),Dunham  #3 - High,in playground,4640 N MELVINA AVE,2,4/5/17,,,,,,,,,7.66,,,41.96587575,-87.7825277
433,DUNHAM (ROBERT),Dunham  #3 - Middle,in playground,4640 N MELVINA AVE,2,4/5/17,,,,,,,,,5.78,,,41.96587575,-87.7825277
434,DUNHAM (ROBERT),Dunham  #3 - Low,in playground,4640 N MELVINA AVE,2,4/5/17,,,,,,,,,6.06,,,41.96587575,-87.7825277
435,DURKIN (MARTIN),Durkin  #1,southwest corner of roller hockey,8445 S KOLIN AVE,,,,,,,,,,,,,,41.7391997,-87.7294966
436,DURKIN (MARTIN),Durkin  #2,"west side of park, on path, between diamonds",8445 S KOLIN AVE,2,4/3/17,,,,,,,,,2.72,,,41.7391997,-87.7294966
437,DURKIN (MARTIN),Durkin  #3 - High,"north of workout station, on path",8445 S KOLIN AVE,2,4/3/17,,,,,,,,,0.12,,,41.7391997,-87.7294966
438,DURKIN (MARTIN),Durkin  #3 - Low,"north of workout station, on path",8445 S KOLIN AVE,2,4/3/17,,,,,,,,,0.12,,,41.7391997,-87.7294966
439,DURSO (JOHN),Durso  #1,"south of playground, near hudson and chestnut",421 W LOCUST ST,2.22,6/10/17,,,46.8,8/19/17,,,,,,,,41.8991737,-87.6406575
440,DVORAK (ANTON),Dvorak  #1,southwest corner of main fieldhouse,1119 W CULLERTON ST,2,4/19/17,,,14.4,7/22/17,,,,,17,,,41.8549913,-87.65394158
441,DVORAK (ANTON),Dvorak  #2 - High,southeast corner of main fieldhouse,1119 W CULLERTON ST,2,4/19/17,,,,,,,,,7.4,,,41.8549913,-87.65394158
442,DVORAK (ANTON),Dvorak  #2 - Middle,southeast corner of main fieldhouse,1119 W CULLERTON ST,2,4/19/17,,,,,,,,,4.8,,,41.8549913,-87.65394158
443,DVORAK (ANTON),Dvorak  #2 - Low,southeast corner of main fieldhouse,1119 W CULLERTON ST,2,4/19/17,,,,,,,,,3.8,,,41.8549913,-87.65394158
444,DVORAK (ANTON),Dvorak  #3 - High,on pool deck,1119 W CULLERTON ST,6.77,4/21/17,,,26.4,7/22/17,2,6/29/17,,,17,,,41.8549913,-87.65394158
445,DVORAK (ANTON),Dvorak  #3 - Low,on pool deck,1119 W CULLERTON ST,17,4/21/17,13.3,5/25/17,28.3,7/22/17,,,,,20,,,41.8549913,-87.65394158
446,DVORAK (ANTON),Dvorak  #4 - High,"interactive spray pool area, next to pool filter room, north side of building",1119 W CULLERTON ST,2,4/21/17,,,,,,,,,2,,,41.8549913,-87.65394158
447,DVORAK (ANTON),Dvorak  #4 - Low,"interactive spray pool area, next to pool filter room, north side of building",1119 W CULLERTON ST,2,4/21/17,,,,,,,,,2,,,41.8549913,-87.65394158
448,DVORAK (ANTON),Dvorak  #5 - High,"newer south end of park, just east of canopy area, south of walking track",1119 W CULLERTON ST,2,4/21/17,,,,,,,,,2,,,41.8549913,-87.65394158
449,DVORAK (ANTON),Dvorak  #5 - Low,"newer south end of park, just east of canopy area, south of walking track",1119 W CULLERTON ST,2,4/21/17,,,,,,,,,2,,,41.8549913,-87.65394158
450,ECKERSALL (WALTER HERBERT),Eckersall  #1 - High,"on 82nd, at phillips, ",2430 E 82ND ST,2,4/28/17,,,,,,,,,14,,,41.74602765,-87.5649313
451,ECKERSALL (WALTER HERBERT),Eckersall  #1 - Low,"on 82nd, at phillips, ",2430 E 82ND ST,2,4/28/17,,,,,,,,,13,,,41.74602765,-87.5649313
452,ECKHART (BERNARD),Eckhart  #1 - High,corner of noble and chestnut,1330 W CHICAGO AVE,2,3/29/17,,,,,,,,,14.1,,,41.8966275,-87.6614189
453,ECKHART (BERNARD),Eckhart  #1 - Low,corner of noble and chestnut,1330 W CHICAGO AVE,,,,,,,,,,,14.6,,,41.8966275,-87.6614189
454,ECKHART (BERNARD),Eckhart  #2 - High,"north of chicago, west of elizabeth",1330 W CHICAGO AVE,2,3/29/17,,,,,,,,,5.6,,,41.8966275,-87.6614189
455,ECKHART (BERNARD),Eckhart  #2 - Middle,"north of chicago, west of elizabeth",1330 W CHICAGO AVE,,,,,,,,,,,5.91,,,41.8966275,-87.6614189
456,ECKHART (BERNARD),Eckhart  #2 - Low,"north of chicago, west of elizabeth",1330 W CHICAGO AVE,,,,,,,,,,,6.8,,,41.8966275,-87.6614189
457,EDGEBROOK,Edgebrook  #1 - High,"on ionia, near baseball storage shed",6525 N HIAWATHA AVE,2,5/23/17,,,,,,,,,0.793,,,41.99961225,-87.76083677
458,EDGEBROOK,Edgebrook  #1 - Low,"on ionia, near baseball storage shed",6525 N HIAWATHA AVE,2,5/23/17,,,,,,,,,,,,41.99961225,-87.76083677
459,EDMONDS (MOLLY),Edmonds  #1 - High,at park entrance on 60th pl,711 W 60TH PL,2.33,4/5/17,,,,,,,,,12.5,,,41.7833684,-87.7133036
460,EDMONDS (MOLLY),Edmonds  #1 - Low,at park entrance on 60th pl,711 W 60TH PL,2.41,4/5/17,,,,,,,,,14.1,,,41.7833684,-87.7133036
461,EHRLER (WILLIAM),Ehrler  #1,north side of playground,2230 W CORTLAND ST,2,4/24/17,,,,,,,,,2.5,,,41.9163217,-87.6669881
462,ELLIS (SAMUEL),Ellis  #1,"behind church, north end of park",707 E 37TH ST,7.57,4/18/17,,,19.8,8/12/17,,,,,16,,,41.8273919,-87.60810701
463,ELLIS (SAMUEL),Ellis  #2,"between baseball diamons, south end of park",707 E 37TH ST,17,4/18/17,37.8,5/25/17,,,,,,,92,,,41.8273919,-87.60810701
464,ELM,Elm  #1,on woodlawn,5215 S WOODLAWN AVE,4.83,5/12/17,,,,,,,,,5.3,,,41.7950705,-87.5965437
465,EMERALD,Emerald  #1,at entrance,5600 S EMERALD AVE,2.09,4/5/17,,,18.1,6/29/17,,,,,30.2,97,12,41.8131751,-87.6444371
466,EMMERSON (LOUIS),Emmerson  #1,northeast corner of basketball court,1820 W GRANVILLE AVE,4.11,4/14/17,,,27.2,6/9/17,,,,,102,54,10,41.9946084,-87.6562507
467,ESSEX,Essex  #1 - High,center of park,7687 S SOUTH CHICAGO AVE,4.07,4/29/17,,,,,,,,,5.6,,,41.7264819,-87.5508068
468,ESSEX,Essex  #1 - Middle,center of park,7687 S SOUTH CHICAGO AVE,2.94,4/29/17,,,,,,,,,5.8,,,41.7264819,-87.5508068
469,ESSEX,Essex  #1 - Low,center of park,7687 S SOUTH CHICAGO AVE,3.03,4/29/17,,,,,,,,,5.9,,,41.7264819,-87.5508068
470,EUCLID,Euclid  #1,"third baseline of northwest baseball diamond, on parnell",9800 S PARNELL AVE,2.82,4/19/17,,,,,,,,,12.5,,,41.716072,-87.63741185
471,EUCLID,Euclid  #2 - High,north east corner of basketball courts,9800 S PARNELL AVE,9.52,4/19/17,,,,,,,,,0.76,,,41.716072,-87.63741185
472,EUCLID,Euclid  #2 - Low,north east corner of basketball courts,9800 S PARNELL AVE,9.53,4/19/17,,,,,,,,,0.77,,,41.716072,-87.63741185
473,EUCLID,Euclid  #3 - High,west of fieldhouse,9800 S PARNELL AVE,2,4/19/17,,,,,,,,,13.2,,,41.716072,-87.63741185
474,EUCLID,Euclid  #3 - Low,west of fieldhouse,9800 S PARNELL AVE,2,4/19/17,,,,,,,,,11.2,,,41.716072,-87.63741185
475,FELLGER (CHARLES),Fellger  #1 - High,near entrance on damen,2012 W BELMONT AVE,2,4/27/17,,,,,,,,,2,,,41.9383812,-87.7810683
476,FELLGER (CHARLES),Fellger  #1 - Low,near entrance on damen,2012 W BELMONT AVE,2,4/27/17,,,,,,,,,2,,,41.9383812,-87.7810683
477,FERNWOOD,Fernwood  #1,north of playground,10436 S WALLACE ST,2,4/22/17,,,,,,,,,0.12,,,41.70409745,-87.63861437
478,FERNWOOD,Fernwood  #2,"north of tennis courts, at 105th on path",10436 S WALLACE ST,2.63,4/22/17,,,2,6/27/17,,,,,33.2,11,3.8,41.70409745,-87.63861437
479,FIELD (EUGENE),Eugene Field #1 - High,by spraypool and playground,5100 N RIDGEWAY AVE,2,4/20/17,,,,,,,,,9.18,,,41.97400195,-87.72242842
480,FIELD (EUGENE),Eugene Field #1 - Middle,basketball court,5100 N RIDGEWAY AVE,2,4/20/17,,,,,,,,,0.12,,,41.97400195,-87.72242842
481,FIELD (EUGENE),Eugene Field #1 - Low,by spraypool and playground,5100 N RIDGEWAY AVE,2,4/20/17,,,,,,,,,9.5,,,41.97400195,-87.72242842
482,FIELD (EUGENE),Eugene Field #2 - High,basketball court,5100 N RIDGEWAY AVE,2,4/20/17,,,,,,,,,0.12,,,41.97400195,-87.72242842
483,FIELD (EUGENE),Eugene Field #2 - Low,basketball court,5100 N RIDGEWAY AVE,2,4/20/17,,,,,,,,,0.12,,,41.97400195,-87.72242842
484,FIELD (EUGENE),Eugene Field #3 - High,north of river by baseball diamond,5100 N RIDGEWAY AVE,2,4/20/17,,,4.38,8/5/17,,,,,6.74,,,41.97400195,-87.72242842
485,FIELD (EUGENE),Eugene Field #3 - Low,north of river by baseball diamond,5100 N RIDGEWAY AVE,2,4/20/17,,,7.33,8/5/17,,,,,15.4,6.9,2.1,41.97400195,-87.72242842
486,FIELD (EUGENE),Eugene Field #4 - High,"on turn around, across from fieldhouse",5100 N RIDGEWAY AVE,2.28,4/20/17,,,,,,,,,11.9,,,41.97400195,-87.72242842
487,FIELD (EUGENE),Eugene Field #4 - Low,"on turn around, across from fieldhouse",5100 N RIDGEWAY AVE,2.5,4/20/17,,,,,,,,,14.3,,,41.97400195,-87.72242842
488,FILBERT,Filbert  #1 - High,north side of park,1822 W LARCHMONT AVE,2,4/27/17,,,,,,,,,2.5,,,41.9532603,-87.6762968
489,FILBERT,Filbert  #1 - Middle,north side of park,1822 W LARCHMONT AVE,2,4/27/17,,,,,,,,,2.2,,,41.9532603,-87.6762968
490,FILBERT,Filbert  #1 - Low,north side of park,1822 W LARCHMONT AVE,2,4/27/17,,,,,,,,,2.3,,,41.9532603,-87.6762968
491,FLOWER (LUCY),Flower  #1 - High,near entrance on moffat,2554 W MOFFAT ST,2,4/24/17,,,,,,,,,2,,,41.9146869,-87.7062274
492,FLOWER (LUCY),Flower  #1 - Middle,near entrance on moffat,2554 W MOFFAT ST,2,4/24/17,,,,,,,,,2,,,41.9146869,-87.7062274
493,FLOWER (LUCY),Flower  #1 - Low,near entrance on moffat,2554 W MOFFAT ST,2,4/24/17,,,,,,,,,2,,,41.9146869,-87.7062274
494,FLYING SQUIRREL,Flying Squirrel  #1,corner of marquette and woodlawn,6600 S WOODLAWN AVE,3.3,4/11/17,,,,,,,,,6.58,,,41.7950705,-87.5965437
495,FOREST GLEN,Forest Glen #1 - High,"at north entrance, on berwyn",5073 W BERWYN AVE,2,4/5/17,,,,,,,,,5.39,,,41.9777309,-87.6889362
496,FOREST GLEN,Forest Glen #1 - Low,"at north entrance, on berwyn",5073 W BERWYN AVE,2.12,4/5/17,,,,,,,,,4.57,,,41.9777309,-87.6889362
497,FOSCO (PETER),Fosco  #1 - High,"west side of field house, in playlot, at gate to spray feature",1313 S THROOP ST,2,4/11/17,,,,,,,,,2,,,41.7513798,-87.6553684
498,FOSCO (PETER),Fosco  #1 - Low,"west side of field house, in playlot, at gate to spray feature",1313 S THROOP ST,2,4/11/17,,,,,,,,,2,,,41.7513798,-87.6553684
499,FOSCO (PETER),Fosco  #2 - High,"south of fieldhouse, 30' south of hastings, 100' east of lytle",1313 S THROOP ST,2,4/11/17,,,,,,,,,2,,,41.7513798,-87.6553684
500,FOSCO (PETER),Fosco  #2 - Low,"south of fieldhouse, 30' south of hastings, 100' east of lytle",1313 S THROOP ST,2,4/11/17,,,,,,,,,2,,,41.7513798,-87.6553684
501,FOSTER (J. FRANK),Foster  #1 - High,between playground and spraypool,1440 W 84TH ST,2,4/6/17,,,,,,,,,0.419,,,41.7416622,-87.6391693
502,FOSTER (J. FRANK),Foster  #1 - Low,between playground and spraypool,1440 W 84TH ST,2,4/6/17,,,,,,,,,0.325,,,41.7416622,-87.6391693
503,FOSTER (J. FRANK),Foster  #2 - High,"east of fieldhouse, on path, near track",1440 W 84TH ST,2,4/6/17,,,,,,,,,7.52,,,41.7416622,-87.6391693
504,FOSTER (J. FRANK),Foster  #2 - Low,"east of fieldhouse, on path, near track",1440 W 84TH ST,2,4/6/17,,,,,,,,,7.89,,,41.7416622,-87.6391693
505,FOSTER (J. FRANK),Foster  #3,west of east tennis courts,1440 W 84TH ST,60.7,4/6/17,10.3,5/26/17,127,8/5/17,,,,,159,110,69,41.7416622,-87.6391693
506,FOSTER (J. FRANK),Foster  #4 - High,"west side of park, between two southwest diamonds, on path",1440 W 84TH ST,2,4/6/17,,,,,,,,,0.12,,,41.7416622,-87.6391693
507,FOSTER (J. FRANK),Foster  #4 - Low,"west side of park, between two southwest diamonds, on path",1440 W 84TH ST,6.8,4/6/17,,,,,,,,,2.06,,,41.7416622,-87.6391693
508,FOSTER (J. FRANK),Foster  #5 - High,"east side of park, between two southeast diamonds, on path",1440 W 84TH ST,6.42,4/6/17,,,2,8/5/17,,,,,50,120,4.3,41.7416622,-87.6391693
509,FOSTER (J. FRANK),Foster  #5 - Low,"east side of park, between two southeast diamonds, on path",1440 W 84TH ST,3.2,4/6/17,,,2,8/5/17,,,,,73,110,4,41.7416622,-87.6391693
510,FOSTER (J. FRANK),Foster  #6 - High,spraypool,1440 W 84TH ST,2,4/6/17,,,,,,,,,0.182,,,41.7416622,-87.6391693
511,FOSTER (J. FRANK),Foster  #6 - Low,spraypool,1440 W 84TH ST,2,4/6/17,,,,,,,,,0.28,,,41.7416622,-87.6391693
512,FRANKLIN (BENJAMIN),Franklin #1,on pool deck,4320 W 15TH ST,2,7/8/17,,,,,,,,,2.32,,,41.8615387,-87.6614171
513,FRANKLIN (BENJAMIN),Franklin #2,near spray pool,4320 W 15TH ST,2,7/8/17,,,2,8/12/17,,,,,0.12,,,41.8615387,-87.6614171
514,FRANKLIN (BENJAMIN),Franklin #3,near baseball diamond #1,4320 W 15TH ST,3.71,4/10/17,,,,,,,,,1.12,,,41.8615387,-87.6614171
515,FRANKLIN (BENJAMIN),Franklin #4,near south entrance,4320 W 15TH ST,2.96,4/10/17,,,71,7/15/17,,,,,37.2,19,7.8,41.8615387,-87.6614171
516,FULLER (MELVILLE),Fuller  #1 - High,near spray pool,331 W 45TH ST,69,4/22/17,2,5/26/17,2.13,6/9/17,21,6/29/17,,,10.6,,,41.81198345,-87.63492969
517,FULLER (MELVILLE),Fuller  #1 - Middle,near spray pool,331 W 45TH ST,14.3,4/22/17,2,5/26/17,2.02,6/9/17,,,,,10.9,,,41.81198345,-87.63492969
518,FULLER (MELVILLE),Fuller  #1 - Low,near spray pool,331 W 45TH ST,25.2,4/22/17,2,5/26/17,3.3,6/9/17,,,,,16.9,9.3,9.5,41.81198345,-87.63492969
519,FULLER (MELVILLE),Fuller  #2,near basketball courts,331 W 45TH ST,2,4/22/17,,,,,,,,,0.13,,,41.81198345,-87.63492969
520,FULLER (MELVILLE),Fuller  #3,southeast of field house,331 W 45TH ST,2,4/22/17,,,,,,,,,0.584,,,41.81198345,-87.63492969
521,FULLER (MELVILLE),Fuller  #4,outside of filter room,331 W 45TH ST,2.43,4/22/17,,,2,6/9/17,,,,,472,65,6.5,41.81198345,-87.63492969
522,FULLER (MELVILLE),Fuller  #5,on pool deck,331 W 45TH ST,2,4/22/17,,,2,6/9/17,,,,,82.1,170,3.4,41.81198345,-87.63492969
523,GAGE (GEORGE),Gage  #1,"right field of north senior diamond, 54th and artesian",2415 W 55TH ST,2,4/5/17,,,,,,,,,1.24,,,41.79350015,-87.6849754
524,GAGE (GEORGE),Gage  #2,"northeast corner of tennis courts, on path",2415 W 55TH ST,3.03,5/17/17,,,,,,,,,1.07,,,41.79350015,-87.6849754
525,GAGE (GEORGE),Gage  #3,"southwest corner of park, at 56th and maplewood",2415 W 55TH ST,2,5/17/17,,,,,,,,,2.09,,,41.79350015,-87.6849754
526,GAGE (GEORGE),Gage  #4,northwest corner of gardening yard,2415 W 55TH ST,2,4/5/17,,,17.7,6/29/17,,,,,48.8,26,5.8,41.79350015,-87.6849754
527,GAGE (GEORGE),Gage  #5 - High,"west of playground, on path",2415 W 55TH ST,2,4/5/17,,,,,,,,,0.12,,,41.79350015,-87.6849754
528,GAGE (GEORGE),Gage  #5 - Middle,"west of playground, on path",2415 W 55TH ST,2,4/5/17,,,,,,,,,0.17,,,41.79350015,-87.6849754
529,GAGE (GEORGE),Gage  #5 - Low,"west of playground, on path",2415 W 55TH ST,2,4/5/17,,,,,,,,,0.22,,,41.79350015,-87.6849754
530,GAGE (GEORGE),Gage  #6,"south of fieldhouse, on track",2415 W 55TH ST,2.72,4/5/17,,,12.8,8/1/17,,,,,30.5,33,8.5,41.79350015,-87.6849754
531,GAGE (GEORGE),Gage  #7,pool deck,2415 W 55TH ST,3.05,4/5/17,,,,,,,,,124,93,9.3,41.79350015,-87.6849754
532,GALEWOOD,Galewood  #1,southwest corner of fieldhouse,5729 W BLOOMINGDALE AVE,2,4/11/17,,,,,,,,,2.29,,,41.91250375,-87.76873668
533,GARFIELD (JAMES),Garfield  #1,across central park from conservatory,100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,0.387,,,41.8826882,-87.71609649
534,GARFIELD (JAMES),Garfield  #2,"380' east of hamlin, 160' south of lake",100 N CENTRAL PARK DR,2,4/7/17,,,2.43,7/15/17,,,,,43.7,32,11,41.8826882,-87.71609649
535,GARFIELD (JAMES),Garfield  #3 - High,"at playground, 230' south of lake, 121' west of homan",100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,0.12,,,41.8826882,-87.71609649
536,GARFIELD (JAMES),Garfield  #3 - Middle,"at playground, 230' south of lake, 121' west of homan",100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,0.12,,,41.8826882,-87.71609649
537,GARFIELD (JAMES),Garfield  #3 - Low,"at playground, 230' south of lake, 121' west of homan",100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,0.12,,,41.8826882,-87.71609649
538,GARFIELD (JAMES),Garfield  #4 - High,"at basketball court, south of schraeder, west of central park",100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,1.17,,,41.8826882,-87.71609649
539,GARFIELD (JAMES),Garfield  #4 - Low,"at basketball court, south of schraeder, west of central park",100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,1.22,,,41.8826882,-87.71609649
540,GARFIELD (JAMES),Garfield  #5,on pool deck,100 N CENTRAL PARK DR,2,6/16/17,,,2,7/8/17,,,,,0.12,,,41.8826882,-87.71609649
541,GARFIELD (JAMES),Garfield  #6,"at playground, 190' west of homan, 70' south of warren",100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,2.48,,,41.8826882,-87.71609649
542,GARFIELD (JAMES),Garfield  #7,"east of band stand, 297' south of madison, 185' west of central park",100 N CENTRAL PARK DR,2,4/7/17,,,,,,,,,0.781,,,41.8826882,-87.71609649
543,GARFIELD (JAMES),Garfield  #8,"in field south of music court, 256' along the path",100 N CENTRAL PARK DR,7.43,4/8/17,,,,,,,,,7.06,,,41.8826882,-87.71609649
544,GARFIELD (JAMES),Garfield  #9,"in field south of music court, 450' along the path ",100 N CENTRAL PARK DR,2,4/8/17,,,2,7/15/17,,,,,72.4,5.5,13,41.8826882,-87.71609649
545,GARFIELD (JAMES),Garfield  #10,"60' south of jackson, 28' east of hamlin",100 N CENTRAL PARK DR,2,4/8/17,,,,,,,,,13,,,41.8826882,-87.71609649
546,GARFIELD (JAMES),Garfield  #11,"southern end of park, 183' north of congress, 10' east of hamlin",100 N CENTRAL PARK DR,2,4/8/17,,,,,,,,,4.11,,,41.8826882,-87.71609649
547,GARIBALDI (GIUSEPPI),Garibaldi  #1,"south of playlot, 40' east of polk entrance",1520 W POLK ST,2,4/11/17,,,,,,,,,3.3,,,41.8721721,-87.6317381
548,GATELY (JAMES),Gately  #1,"on path, center-west",810 E 103RD ST,2,4/29/17,,,14.7,6/30/17,4,7/25/17,,,30,73,4.4,41.7085283,-87.6031693
549,GATELY (JAMES),Gately  #2,"basketball court, northwest corner of stadium",810 E 103RD ST,2,4/24/17,,,,,,,,,2,,,41.7085283,-87.6031693
550,GILL (JOSEPH),Gill  #1 - High,third base line of diamond,825 W SHERIDAN RD,4.27,4/27/17,,,,,,,,,31,4.9,3.4,41.9523551,-87.6505975
551,GILL (JOSEPH),Gill  #1 - Middle,third base line of diamond,825 W SHERIDAN RD,4.43,4/27/17,,,,,,,,,32,5.1,3.6,41.9523551,-87.6505975
552,GILL (JOSEPH),Gill  #1 - Low,third base line of diamond,825 W SHERIDAN RD,4.83,4/27/17,,,,,,,,,28,7.2,3.2,41.9523551,-87.6505975
553,GINKGO,Ginkgo #1 - High,near entrance,1448 S TRUMBULL AVE,5.38,4/8/17,,,2.63,5/22/17,,,,,,,,41.8519012,-87.7111317
554,GINKGO,Ginkgo #1 - Low,near entrance,1448 S TRUMBULL AVE,5.55,4/27/17,,,2.63,5/22/17,,,,,,,,41.8519012,-87.7111317
555,GLADSTONE (WILLIAM),Gladstone  #1 - High,"north of fieldhouse, on magnet",5421 N MENARD AVE,11.5,4/5/17,,,6.94,7/12/17,,,,,44.9,43.7,11.9,41.9793251,-87.77291794
556,GLADSTONE (WILLIAM),Gladstone  #1 - Middle,"north of fieldhouse, on magnet",5421 N MENARD AVE,14.9,4/5/17,,,8.6,7/12/17,,,,,0.812,,,41.9793251,-87.77291794
557,GLADSTONE (WILLIAM),Gladstone  #1 - Low,"north of fieldhouse, on magnet",5421 N MENARD AVE,8.7,4/5/17,,,19.6,7/12/17,,,,,28.3,33.1,77,41.9793251,-87.77291794
558,GLADYS (GUNDERSON),Gladys  #1,southwest corner,3307 W GLADYS AVE,2,4/6/17,,,,,,,,,4.66,,,41.8773511,-87.6445227
559,GOLDBERG (LOUIS),Goldberg  #1 - High,at entrance on greenleaf,7053 N GLENWOOD AVE,10.4,4/17/17,,,18.4,7/12/17,,,,,69,94,14,41.9771563,-87.6647565
560,GOLDBERG (LOUIS),Goldberg  #1 - Low,at entrance on greenleaf,7053 N GLENWOOD AVE,10.4,4/17/17,,,16.6,7/12/17,,,,,53,89,14,41.9771563,-87.6647565
561,GOLDEN GATE,Golden Gate  #1 - High,west of playground,13000 S EBERHART AVE,2,5/6/17,,,,,,,,,4,,,41.7474636,-87.6124712
562,GOLDEN GATE,Golden Gate  #1 - Low,west of playground,13000 S EBERHART AVE,2,5/6/17,,,,,,,,,8.8,,,41.7474636,-87.6124712
563,GOMPERS (SAMUEL),Gompers  #1,"left field of junior diamond 2, near sport roller court",4222 W FOSTER AVE,3.13,4/18/17,,,76.5,8/12/17,,,,,16.2,20,4.9,41.9758471,-87.7344154
564,GOMPERS (SAMUEL),Gompers  #2 - North,north of kildare entrance on foster,4222 W FOSTER AVE,8.08,4/18/17,,,75.2,9/1/17,,,,,43.8,38,17,41.9758471,-87.7344154
565,GOMPERS (SAMUEL),Gompers  #2 - South,north of kildare entrance on foster,4222 W FOSTER AVE,7.85,4/18/17,,,47.9,9/1/17,,,,,49.4,38,15,41.9758471,-87.7344154
566,GOMPERS (SAMUEL),Gompers  #3 - High,west of playground,4222 W FOSTER AVE,2.44,4/18/17,,,,,,,,,6.66,,,41.9758471,-87.7344154
567,GOMPERS (SAMUEL),Gompers  #3 - Middle,west of playground,4222 W FOSTER AVE,2.35,4/18/17,,,,,,,,,6.78,,,41.9758471,-87.7344154
568,GOMPERS (SAMUEL),Gompers  #3 - Low,west of playground,4222 W FOSTER AVE,2.48,4/18/17,,,,,,,,,6.82,,,41.9758471,-87.7344154
569,GOMPERS (SAMUEL),Gompers  #4,pool deck,4222 W FOSTER AVE,7.49,4/18/17,,,50.1,6/30/17,,,,,24.1,62,10,41.9758471,-87.7344154
570,GOMPERS (SAMUEL),Gompers  #5 - High,"gompers monument, at foster and pulaski",4222 W FOSTER AVE,2,4/19/17,,,,,,,,,0.431,,,41.9758471,-87.7344154
