park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
ARCHER (WILLIAM BEATTY),Archer  #3 - High,"East side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,<2.0,4/24/17,,,,,,,,,1.5,,
ARCHER (WILLIAM BEATTY),Archer  #3 - Middle,"East side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,<2.0,4/24/17,,,,,,,,,1.53,,
ARCHER (WILLIAM BEATTY),Archer  #3 - Low,"East side of park, between southeast diamond and playground, at 49th",4901 S KILBOURN AVE,<2.0,4/24/17,,,,,,,,,1.57,,
ARCHER (WILLIAM BEATTY),Archer  #4,"3rd base line of senior diamond, on Kilbourn",4901 S KILBOURN AVE,<2.0,4/24/17,,,,,,,,,1.18,,
ARMOUR (PHILIP) SQUARE,Armour Square #1,Pool deck,3309 S SHIELDS AVE,<2.0,6/16/17,,,<2.0,7/8/17,,,,,0.167,,
ARMOUR (PHILIP) SQUARE,Armour Square #2 - High,South of playlot entrance,3309 S SHIELDS AVE,<2.0,4/14/17,,,,,,,,,1.53,,
ARMOUR (PHILIP) SQUARE,Armour Square #2 - Middle,South of playlot entrance,3309 S SHIELDS AVE,<2.0,4/14/17,,,,,,,,,3.81,,
ARMOUR (PHILIP) SQUARE,Armour Square #2 - Low,South of playlot entrance,3309 S SHIELDS AVE,<2.0,4/14/17,,,,,,,,,3.37,,
ARMOUR (PHILIP) SQUARE,Armour Square #3 - High,"East side of walking path, north of southeast entrance",3309 S SHIELDS AVE,<2.0,4/14/17,,,,,,,,,2.51,,
ARMOUR (PHILIP) SQUARE,Armour Square #3 - Low,"East side of walking path, north of southeast entrance",3309 S SHIELDS AVE,<2.0,4/14/17,,,,,,,,,1.63,,
ARMOUR (PHILIP) SQUARE,Armour Square #4 - High,"West of south diamond, east of tennis courts",3309 S SHIELDS AVE,<2.0,4/14/17,,,,,,,,,6.44,,
ARMOUR (PHILIP) SQUARE,Armour Square #4 - Low,"West of south diamond, east of tennis courts",3309 S SHIELDS AVE,<2.0,4/14/17,,,,,,,,,6.25,,
ARMSTRONG (LILLIAN HARDIN),Armstrong  #1,"On center of running track, opposite St. Lawrence, east side of track",4433 S ST LAWRENCE,<2.0,4/28/17,,,,,,,,,<2.0,,
ARRIGO (VICTOR),Arrigo  #1 - High,"Southeast corner of park, near Lytle and Cabrini",801 S LOOMIS ST,32.3,4/11/17,16.1,5/25/17,,,55,6/29/17,14,7/31/17,92,110,86
ARRIGO (VICTOR),Arrigo  #1 - Low,"Southeast corner of park, near Lytle and Cabrini",801 S LOOMIS ST,112,4/11/17,25.3,5/25/17,,,,,,,91,110,86
ASHE (ARTHUR) BEACH,Ashe Beach #1 - High,AT ENTRANCE ON 74TH,2701 E 74TH ST,<2.0,4/8/17,,,,,,,,,<2.0,,
ASHE (ARTHUR) BEACH,Ashe Beach #1 - Middle,AT ENTRANCE ON 74TH,2701 E 74TH ST,<2.0,4/8/17,,,,,,,,,<2.0,,
ASHE (ARTHUR) BEACH,Ashe Beach #1 - Low,AT ENTRANCE ON 74TH,2701 E 74TH ST,<2.0,4/8/17,,,,,,,,,<2.0,,
ASHMORE,Ashmore  #1,At park entrance on Gunnison,4807 W GUNNISON ST,5.38,4/4/17,,,19.2,6/8/17,,,,,32.9,49.5,11
ASPEN,Aspen  #1 - High,Inside entrance,4237 S WABASH AVE,<2.0,4/27/17,,,,,,,,,<2.0,,
ASPEN,Aspen  #1 - Low,Inside entrance,4237 S WABASH AVE,<2.0,4/27/17,,,,,,,,,2.2,,
ASTER,Aster  #1,At entrance,4639 N KENMORE AVE,<2.0,4/27/17,,,,,,,,,9.7,,
ATHLETIC FIELD,Athletic Field  #1,"Northeast corner of fieldhouse, on path",3546 W ADDISON ST,7.07,4/22/17,,,129,6/26/17,,,,,47.5,45,42
ATHLETIC FIELD,Athletic Field  #2 - High,In playground,3546 W ADDISON ST,<2.0,4/22/17,,,,,,,,,<0.12,,
ATHLETIC FIELD,Athletic Field  #2 - Middle,In playground,3546 W ADDISON ST,<2.0,4/22/17,,,,,,,,,<0.12,,
ATHLETIC FIELD,Athletic Field  #2 - Low,In playground,3546 W ADDISON ST,<2.0,4/22/17,,,,,,,,,<0.12,,
AUGUSTA (CARPENTER),Augusta  #1 - High,West side of playground,4431 W AUGUSTA BLVD,<2.0,4/8/17,,,,,,,,,0.769,,
AUGUSTA (CARPENTER),Augusta  #1 - Middle,West side of playground,4431 W AUGUSTA BLVD,<2.0,4/8/17,,,,,,,,,0.769,,
AUGUSTA (CARPENTER),Augusta  #1 - Low,West side of playground,4431 W AUGUSTA BLVD,<2.0,4/8/17,,,,,,,,,0.789,,
AUSTIN FOSTER,Austin Foster #1 - High,North of Playground,6020 W FOSTER AVE,8.64,4/7/17,,,7.24,6/15/17,,,,,20.6,28.6,12.7
AUSTIN FOSTER,Austin Foster #1 - Low,North of Playground,6020 W FOSTER AVE,8.35,4/7/17,,,8.24,6/15/17,,,,,51,18.4,31.6
AUSTIN TOWN HALL,Austin Town Hall  #1,On street at Lake entrance,5610 W LAKE ST,3.3,4/7/17,,,,,,,,,2.41,,
AVALON,Avalon  #1,"WEST OF WEST PATH, NORTH OF PLAYGROUND",1215 E 83RD ST,<2.0,4/29/17,,,,,,,,,7.9,,
AVALON,Avalon  #2 - High,"WEST OF WEST PATH, WITHIN PLAYGROUND",1215 E 83RD ST,<2.0,4/29/17,,,,,,,,,<2.0,,
AVALON,Avalon  #2 - Low,"WEST OF WEST PATH, WITHIN PLAYGROUND",1215 E 83RD ST,<2.0,4/29/17,,,,,,,,,2.7,,
AVALON,Avalon  #3 - High,"SOUTHWEST CORNER, EAST OF PATH AND TENNIS COURTS",1215 E 83RD ST,11.9,4/29/17,,,5.44,6/28/17,,,,,1800,3100,65
