park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
DVORAK (ANTON),Dvorak  #1,Southwest corner of main fieldhouse,1119 W CULLERTON ST,<2.0,4/19/17,,,14.4,7/22/17,,,,,17,,
DVORAK (ANTON),Dvorak  #2 - High,Southeast corner of main fieldhouse,1119 W CULLERTON ST,<2.0,4/19/17,,,,,,,,,7.4,,
DVORAK (ANTON),Dvorak  #2 - Middle,Southeast corner of main fieldhouse,1119 W CULLERTON ST,<2.0,4/19/17,,,,,,,,,4.8,,
DVORAK (ANTON),Dvorak  #2 - Low,Southeast corner of main fieldhouse,1119 W CULLERTON ST,<2.0,4/19/17,,,,,,,,,3.8,,
DVORAK (ANTON),Dvorak  #3 - High,On pool deck,1119 W CULLERTON ST,6.77,4/21/17,,,26.4,7/22/17,<2.0,6/29/17,,,17,,
DVORAK (ANTON),Dvorak  #3 - Low,On pool deck,1119 W CULLERTON ST,17,4/21/17,13.3,5/25/17,28.3,7/22/17,,,,,20,,
DVORAK (ANTON),Dvorak  #4 - High,"Interactive spray pool area, next to pool filter room, north side of building",1119 W CULLERTON ST,<2.0,4/21/17,,,,,,,,,<2.0,,
DVORAK (ANTON),Dvorak  #4 - Low,"Interactive spray pool area, next to pool filter room, north side of building",1119 W CULLERTON ST,<2.0,4/21/17,,,,,,,,,<2.0,,
DVORAK (ANTON),Dvorak  #5 - High,"Newer south end of park, just east of canopy area, south of walking track",1119 W CULLERTON ST,<2.0,4/21/17,,,,,,,,,<2.0,,
DVORAK (ANTON),Dvorak  #5 - Low,"Newer south end of park, just east of canopy area, south of walking track",1119 W CULLERTON ST,<2.0,4/21/17,,,,,,,,,<2.0,,
ECKERSALL (WALTER HERBERT),Eckersall  #1 - High,"ON 82ND, AT PHILLIPS, ",2430 E 82ND ST,<2.0,4/28/17,,,,,,,,,14,,
ECKERSALL (WALTER HERBERT),Eckersall  #1 - Low,"ON 82ND, AT PHILLIPS, ",2430 E 82ND ST,<2.0,4/28/17,,,,,,,,,13,,
ECKHART (BERNARD),Eckhart  #1 - High,Corner of Noble and Chestnut,1330 W CHICAGO AVE,<2.0,3/29/17,,,,,,,,,14.1,,
ECKHART (BERNARD),Eckhart  #1 - Low,Corner of Noble and Chestnut,1330 W CHICAGO AVE,-,,,,,,,,,,14.6,,
ECKHART (BERNARD),Eckhart  #2 - High,"North of Chicago, west of Elizabeth",1330 W CHICAGO AVE,<2.0,3/29/17,,,,,,,,,5.6,,
ECKHART (BERNARD),Eckhart  #2 - Middle,"North of Chicago, west of Elizabeth",1330 W CHICAGO AVE,-,,,,,,,,,,5.91,,
ECKHART (BERNARD),Eckhart  #2 - Low,"North of Chicago, west of Elizabeth",1330 W CHICAGO AVE,-,,,,,,,,,,6.8,,
EDGEBROOK,Edgebrook  #1 - High,"On Ionia, near baseball storage shed",6525 N HIAWATHA AVE,<2.0,5/23/17,,,,,,,,,0.793,,
EDGEBROOK,Edgebrook  #1 - Low,"On Ionia, near baseball storage shed",6525 N HIAWATHA AVE,<2.0,5/23/17,,,,,,,,,-,,
EDMONDS (MOLLY),Edmonds  #1 - High,AT PARK ENTRANCE ON 60TH PL,711 W 60TH PL,2.33,4/5/17,,,,,,,,,12.5,,
EDMONDS (MOLLY),Edmonds  #1 - Low,AT PARK ENTRANCE ON 60TH PL,711 W 60TH PL,2.41,4/5/17,,,,,,,,,14.1,,
EHRLER (WILLIAM),Ehrler  #1,NORTH SIDE OF PLAYGROUND,2230 W CORTLAND ST,<2.0,4/24/17,,,,,,,,,2.5,,
ELLIS (SAMUEL),Ellis  #1,"Behind church, north end of park",707 E 37TH ST,7.57,4/18/17,,,19.8,8/12/17,,,,,16,,
ELLIS (SAMUEL),Ellis  #2,"Between baseball diamons, south end of park",707 E 37TH ST,17,4/18/17,37.8,5/25/17,,,,,,,92,,
ELM,Elm  #1,ON WOODLAWN,5215 S WOODLAWN AVE,4.83,5/12/17,,,,,,,,,5.3,,
EMERALD,Emerald  #1,AT ENTRANCE,5600 S EMERALD AVE,2.09,4/5/17,,,18.1,6/29/17,,,,,30.2,97,12
EMMERSON (LOUIS),Emmerson  #1,Northeast corner of basketball court,1820 W GRANVILLE AVE,4.11,4/14/17,,,27.2,6/9/17,,,,,102,54,10
ESSEX,Essex  #1 - High,CENTER OF PARK,7687 S SOUTH CHICAGO AVE,4.07,4/29/17,,,,,,,,,5.6,,
ESSEX,Essex  #1 - Middle,CENTER OF PARK,7687 S SOUTH CHICAGO AVE,2.94,4/29/17,,,,,,,,,5.8,,
ESSEX,Essex  #1 - Low,CENTER OF PARK,7687 S SOUTH CHICAGO AVE,3.03,4/29/17,,,,,,,,,5.9,,
EUCLID,Euclid  #1,"THIRD BASELINE OF NORTHWEST BASEBALL DIAMOND, ON PARNELL",9800 S PARNELL AVE,2.82,4/19/17,,,,,,,,,12.5,,
EUCLID,Euclid  #2 - High,NORTH EAST CORNER OF BASKETBALL COURTS,9800 S PARNELL AVE,9.52,4/19/17,,,,,,,,,0.76,,
EUCLID,Euclid  #2 - Low,NORTH EAST CORNER OF BASKETBALL COURTS,9800 S PARNELL AVE,9.53,4/19/17,,,,,,,,,0.77,,
EUCLID,Euclid  #3 - High,WEST OF FIELDHOUSE,9800 S PARNELL AVE,<2.0,4/19/17,,,,,,,,,13.2,,
EUCLID,Euclid  #3 - Low,WEST OF FIELDHOUSE,9800 S PARNELL AVE,<2.0,4/19/17,,,,,,,,,11.2,,
FELLGER (CHARLES),Fellger  #1 - High,NEAR ENTRANCE ON DAMEN,2012 W BELMONT AVE,<2.0,4/27/17,,,,,,,,,<2.0,,
FELLGER (CHARLES),Fellger  #1 - Low,NEAR ENTRANCE ON DAMEN,2012 W BELMONT AVE,<2.0,4/27/17,,,,,,,,,<2.0,,
FERNWOOD,Fernwood  #1,NORTH OF PLAYGROUND,10436 S WALLACE ST,<2.0,4/22/17,,,,,,,,,<0.12,,
FERNWOOD,Fernwood  #2,"NORTH OF TENNIS COURTS, AT 105TH ON PATH",10436 S WALLACE ST,2.63,4/22/17,,,<2.0,6/27/17,,,,,33.2,11,3.8
FIELD (EUGENE),Eugene Field #1 - High,BY SPRAYPOOL AND PLAYGROUND,5100 N RIDGEWAY AVE,<2.0,4/20/17,,,,,,,,,9.18,,
FIELD (EUGENE),Eugene Field #1 - Middle,BASKETBALL COURT,5100 N RIDGEWAY AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
FIELD (EUGENE),Eugene Field #1 - Low,BY SPRAYPOOL AND PLAYGROUND,5100 N RIDGEWAY AVE,<2.0,4/20/17,,,,,,,,,9.5,,
FIELD (EUGENE),Eugene Field #2 - High,BASKETBALL COURT,5100 N RIDGEWAY AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
FIELD (EUGENE),Eugene Field #2 - Low,BASKETBALL COURT,5100 N RIDGEWAY AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
FIELD (EUGENE),Eugene Field #3 - High,NORTH OF RIVER BY BASEBALL DIAMOND,5100 N RIDGEWAY AVE,<2.0,4/20/17,,,4.38,8/5/17,,,,,6.74,,
FIELD (EUGENE),Eugene Field #3 - Low,NORTH OF RIVER BY BASEBALL DIAMOND,5100 N RIDGEWAY AVE,<2.0,4/20/17,,,7.33,8/5/17,,,,,15.4,6.9,2.1
FIELD (EUGENE),Eugene Field #4 - High,"ON TURN AROUND, ACROSS FROM FIELDHOUSE",5100 N RIDGEWAY AVE,2.28,4/20/17,,,,,,,,,11.9,,
FIELD (EUGENE),Eugene Field #4 - Low,"ON TURN AROUND, ACROSS FROM FIELDHOUSE",5100 N RIDGEWAY AVE,2.5,4/20/17,,,,,,,,,14.3,,
FILBERT,Filbert  #1 - High,NORTH SIDE OF PARK,1822 W LARCHMONT AVE,<2.0,4/27/17,,,,,,,,,2.5,,
FILBERT,Filbert  #1 - Middle,NORTH SIDE OF PARK,1822 W LARCHMONT AVE,<2.0,4/27/17,,,,,,,,,2.2,,
FILBERT,Filbert  #1 - Low,NORTH SIDE OF PARK,1822 W LARCHMONT AVE,<2.0,4/27/17,,,,,,,,,2.3,,
FLOWER (LUCY),Flower  #1 - High,NEAR ENTRANCE ON MOFFAT,2554 W MOFFAT ST,<2.0,4/24/17,,,,,,,,,<2.0,,
FLOWER (LUCY),Flower  #1 - Middle,NEAR ENTRANCE ON MOFFAT,2554 W MOFFAT ST,<2.0,4/24/17,,,,,,,,,<2.0,,
FLOWER (LUCY),Flower  #1 - Low,NEAR ENTRANCE ON MOFFAT,2554 W MOFFAT ST,<2.0,4/24/17,,,,,,,,,<2.0,,
FLYING SQUIRREL,Flying Squirrel  #1,CORNER OF MARQUETTE AND WOODLAWN,6600 S WOODLAWN AVE,3.3,4/11/17,,,,,,,,,6.58,,
FOREST GLEN,Forest Glen #1 - High,"At north entrance, on Berwyn",5073 W BERWYN AVE,2,4/5/17,,,,,,,,,5.39,,
FOREST GLEN,Forest Glen #1 - Low,"At north entrance, on Berwyn",5073 W BERWYN AVE,2.12,4/5/17,,,,,,,,,4.57,,
FOSCO (PETER),Fosco  #1 - High,"West side of field house, in playlot, at gate to spray feature",1313 S THROOP ST,<2.0,4/11/17,,,,,,,,,<2.0,,
FOSCO (PETER),Fosco  #1 - Low,"West side of field house, in playlot, at gate to spray feature",1313 S THROOP ST,<2.0,4/11/17,,,,,,,,,<2.0,,
FOSCO (PETER),Fosco  #2 - High,"South of fieldhouse, 30' south of Hastings, 100' east of Lytle",1313 S THROOP ST,<2.0,4/11/17,,,,,,,,,<2.0,,
FOSCO (PETER),Fosco  #2 - Low,"South of fieldhouse, 30' south of Hastings, 100' east of Lytle",1313 S THROOP ST,<2.0,4/11/17,,,,,,,,,<2.0,,
FOSTER (J. FRANK),Foster  #1 - High,BETWEEN PLAYGROUND AND SPRAYPOOL,1440 W 84TH ST,<2.0,4/6/17,,,,,,,,,0.419,,
FOSTER (J. FRANK),Foster  #1 - Low,BETWEEN PLAYGROUND AND SPRAYPOOL,1440 W 84TH ST,<2.0,4/6/17,,,,,,,,,0.325,,
FOSTER (J. FRANK),Foster  #2 - High,"EAST OF FIELDHOUSE, ON PATH, NEAR TRACK",1440 W 84TH ST,<2.0,4/6/17,,,,,,,,,7.52,,
FOSTER (J. FRANK),Foster  #2 - Low,"EAST OF FIELDHOUSE, ON PATH, NEAR TRACK",1440 W 84TH ST,<2.0,4/6/17,,,,,,,,,7.89,,
FOSTER (J. FRANK),Foster  #3,WEST OF EAST TENNIS COURTS,1440 W 84TH ST,60.7,4/6/17,10.3,5/26/17,127,8/5/17,,,,,159,110,69
FOSTER (J. FRANK),Foster  #4 - High,"WEST SIDE OF PARK, BETWEEN TWO SOUTHWEST DIAMONDS, ON PATH",1440 W 84TH ST,<2.0,4/6/17,,,,,,,,,<0.12,,
FOSTER (J. FRANK),Foster  #4 - Low,"WEST SIDE OF PARK, BETWEEN TWO SOUTHWEST DIAMONDS, ON PATH",1440 W 84TH ST,6.8,4/6/17,,,,,,,,,2.06,,
FOSTER (J. FRANK),Foster  #5 - High,"EAST SIDE OF PARK, BETWEEN TWO SOUTHEAST DIAMONDS, ON PATH",1440 W 84TH ST,6.42,4/6/17,,,<2.0,8/5/17,,,,,50,120,4.3
FOSTER (J. FRANK),Foster  #5 - Low,"EAST SIDE OF PARK, BETWEEN TWO SOUTHEAST DIAMONDS, ON PATH",1440 W 84TH ST,3.2,4/6/17,,,<2.0,8/5/17,,,,,73,110,4
FOSTER (J. FRANK),Foster  #6 - High,SPRAYPOOL,1440 W 84TH ST,<2.0,4/6/17,,,,,,,,,0.182,,
FOSTER (J. FRANK),Foster  #6 - Low,SPRAYPOOL,1440 W 84TH ST,<2.0,4/6/17,,,,,,,,,0.28,,
FRANKLIN (BENJAMIN),Franklin #1,On pool deck,4320 W 15TH ST,<2.0,7/8/17,,,,,,,,,2.32,,
FRANKLIN (BENJAMIN),Franklin #2,Near spray pool,4320 W 15TH ST,<2.0,7/8/17,,,<2.0,8/12/17,,,,,<0.12,,
FRANKLIN (BENJAMIN),Franklin #3,Near baseball diamond #1,4320 W 15TH ST,3.71,4/10/17,,,,,,,,,1.12,,
FRANKLIN (BENJAMIN),Franklin #4,Near south entrance,4320 W 15TH ST,2.96,4/10/17,,,71,7/15/17,,,,,37.2,19,7.8
FULLER (MELVILLE),Fuller  #1 - High,Near spray pool,331 W 45TH ST,69,4/22/17,<2.0,5/26/17,2.13,6/9/17,21,6/29/17,,,10.6,,
FULLER (MELVILLE),Fuller  #1 - Middle,Near spray pool,331 W 45TH ST,14.3,4/22/17,<2.0,5/26/17,2.02,6/9/17,,,,,10.9,,
FULLER (MELVILLE),Fuller  #1 - Low,Near spray pool,331 W 45TH ST,25.2,4/22/17,<2.0,5/26/17,3.3,6/9/17,,,,,16.9,9.3,9.5
FULLER (MELVILLE),Fuller  #2,Near basketball courts,331 W 45TH ST,<2.0,4/22/17,,,,,,,,,<0.126,,
FULLER (MELVILLE),Fuller  #3,Southeast of field house,331 W 45TH ST,<2.0,4/22/17,,,,,,,,,0.584,,
FULLER (MELVILLE),Fuller  #4,Outside of filter room,331 W 45TH ST,2.43,4/22/17,,,<2.0,6/9/17,,,,,472,65,6.5
FULLER (MELVILLE),Fuller  #5,On pool deck,331 W 45TH ST,<2.0,4/22/17,,,<2.0,6/9/17,,,,,82.1,170,3.4
GAGE (GEORGE),Gage  #1,"RIGHT FIELD OF NORTH SENIOR DIAMOND, 54TH AND ARTESIAN",2415 W 55TH ST,<2.0,4/5/17,,,,,,,,,1.24,,
GAGE (GEORGE),Gage  #2,"NORTHEAST CORNER OF TENNIS COURTS, ON PATH",2415 W 55TH ST,3.03,5/17/17,,,,,,,,,1.07,,
GAGE (GEORGE),Gage  #3,"SOUTHWEST CORNER OF PARK, AT 56TH AND MAPLEWOOD",2415 W 55TH ST,<2.0,5/17/17,,,,,,,,,2.09,,
GAGE (GEORGE),Gage  #4,NORTHWEST CORNER OF GARDENING YARD,2415 W 55TH ST,<2.0,4/5/17,,,17.7,6/29/17,,,,,48.8,26,5.8
GAGE (GEORGE),Gage  #5 - High,"WEST OF PLAYGROUND, ON PATH",2415 W 55TH ST,<2.0,4/5/17,,,,,,,,,<0.12,,
GAGE (GEORGE),Gage  #5 - Middle,"WEST OF PLAYGROUND, ON PATH",2415 W 55TH ST,<2.0,4/5/17,,,,,,,,,0.17,,
GAGE (GEORGE),Gage  #5 - Low,"WEST OF PLAYGROUND, ON PATH",2415 W 55TH ST,<2.0,4/5/17,,,,,,,,,0.22,,
GAGE (GEORGE),Gage  #6,"SOUTH OF FIELDHOUSE, ON TRACK",2415 W 55TH ST,2.72,4/5/17,,,12.8,8/1/17,,,,,30.5,33,8.5
GAGE (GEORGE),Gage  #7,POOL DECK,2415 W 55TH ST,3.05,4/5/17,,,,,,,,,124,93,9.3
GALEWOOD,Galewood  #1,Southwest corner of fieldhouse,5729 W BLOOMINGDALE AVE,<2.0,4/11/17,,,,,,,,,2.29,,
GARFIELD (JAMES),Garfield  #1,Across Central Park from Conservatory,100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,0.387,,
GARFIELD (JAMES),Garfield  #2,"380' east of Hamlin, 160' south of Lake",100 N CENTRAL PARK DR,<2.0,4/7/17,,,2.43,7/15/17,,,,,43.7,32,11
GARFIELD (JAMES),Garfield  #3 - High,"At playground, 230' south of Lake, 121' west of Homan",100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,<0.12,,
GARFIELD (JAMES),Garfield  #3 - Middle,"At playground, 230' south of Lake, 121' west of Homan",100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,<0.12,,
GARFIELD (JAMES),Garfield  #3 - Low,"At playground, 230' south of Lake, 121' west of Homan",100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,<0.12,,
GARFIELD (JAMES),Garfield  #4 - High,"At basketball court, south of Schraeder, west of Central Park",100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,1.17,,
GARFIELD (JAMES),Garfield  #4 - Low,"At basketball court, south of Schraeder, west of Central Park",100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,1.22,,
GARFIELD (JAMES),Garfield  #5,On pool deck,100 N CENTRAL PARK DR,<2.0,6/16/17,,,<2.0,7/8/17,,,,,<0.12,,
GARFIELD (JAMES),Garfield  #6,"At playground, 190' west of Homan, 70' south of Warren",100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,2.48,,
GARFIELD (JAMES),Garfield  #7,"East of band stand, 297' south of Madison, 185' west of Central Park",100 N CENTRAL PARK DR,<2.0,4/7/17,,,,,,,,,0.781,,
GARFIELD (JAMES),Garfield  #8,"In field south of music court, 256' along the path",100 N CENTRAL PARK DR,7.43,4/8/17,,,,,,,,,7.06,,
GARFIELD (JAMES),Garfield  #9,"In field south of music court, 450' along the path ",100 N CENTRAL PARK DR,<2.0,4/8/17,,,<2.0,7/15/17,,,,,72.4,5.5,13
GARFIELD (JAMES),Garfield  #10,"60' south of Jackson, 28' east of Hamlin",100 N CENTRAL PARK DR,<2.0,4/8/17,,,,,,,,,13,,
GARFIELD (JAMES),Garfield  #11,"Southern end of park, 183' north of Congress, 10' east of Hamlin",100 N CENTRAL PARK DR,<2.0,4/8/17,,,,,,,,,4.11,,
GARIBALDI (GIUSEPPI),Garibaldi  #1,"South of playlot, 40' east of Polk entrance",1520 W POLK ST,<2.0,4/11/17,,,,,,,,,3.3,,
GATELY (JAMES),Gately  #1,"ON PATH, CENTER-WEST",810 E 103RD ST,<2.0,4/29/17,,,14.7,6/30/17,4,7/25/17,,,30,73,4.4
GATELY (JAMES),Gately  #2,"BASKETBALL COURT, NORTHWEST CORNER OF STADIUM",810 E 103RD ST,<2.0,4/24/17,,,,,,,,,<2.0,,
GILL (JOSEPH),Gill  #1 - High,THIRD BASE LINE OF DIAMOND,825 W SHERIDAN RD,4.27,4/27/17,,,,,,,,,31,4.9,3.4
GILL (JOSEPH),Gill  #1 - Middle,THIRD BASE LINE OF DIAMOND,825 W SHERIDAN RD,4.43,4/27/17,,,,,,,,,32,5.1,3.6
GILL (JOSEPH),Gill  #1 - Low,THIRD BASE LINE OF DIAMOND,825 W SHERIDAN RD,4.83,4/27/17,,,,,,,,,28,7.2,3.2
GINKGO,Ginkgo #1 - High,Near entrance,1448 S TRUMBULL AVE,5.38,4/8/17,,,2.63,5/22/17,,,,,-,,
GINKGO,Ginkgo #1 - Low,Near entrance,1448 S TRUMBULL AVE,5.55,4/27/17,,,2.63,5/22/17,,,,,-,,
GLADSTONE (WILLIAM),Gladstone  #1 - High,"North of Fieldhouse, on Magnet",5421 N MENARD AVE,11.5,4/5/17,,,6.94,7/12/17,,,,,44.9,43.7,11.9
GLADSTONE (WILLIAM),Gladstone  #1 - Middle,"North of Fieldhouse, on Magnet",5421 N MENARD AVE,14.9,4/5/17,,,8.6,7/12/17,,,,,0.812,,
GLADSTONE (WILLIAM),Gladstone  #1 - Low,"North of Fieldhouse, on Magnet",5421 N MENARD AVE,8.7,4/5/17,,,19.6,7/12/17,,,,,28.3,33.1,77
GLADYS (GUNDERSON),Gladys  #1,Southwest corner,3307 W GLADYS AVE,<2.0,4/6/17,,,,,,,,,4.66,,
GOLDBERG (LOUIS),Goldberg  #1 - High,AT ENTRANCE ON GREENLEAF,7053 N GLENWOOD AVE,10.4,4/17/17,,,18.4,7/12/17,,,,,69,94,14
GOLDBERG (LOUIS),Goldberg  #1 - Low,AT ENTRANCE ON GREENLEAF,7053 N GLENWOOD AVE,10.4,4/17/17,,,16.6,7/12/17,,,,,53,89,14
GOLDEN GATE,Golden Gate  #1 - High,WEST OF PLAYGROUND,13000 S EBERHART AVE,<2.0,5/6/17,,,,,,,,,4,,
GOLDEN GATE,Golden Gate  #1 - Low,WEST OF PLAYGROUND,13000 S EBERHART AVE,<2.0,5/6/17,,,,,,,,,8.8,,
GOMPERS (SAMUEL),Gompers  #1,"Left field of junior diamond 2, near sport roller court",4222 W FOSTER AVE,3.13,4/18/17,,,76.5,8/12/17,,,,,16.2,20,4.9
GOMPERS (SAMUEL),Gompers  #2 - North,North of Kildare entrance on foster,4222 W FOSTER AVE,8.08,4/18/17,,,75.2,9/1/17,,,,,43.8,38,17
GOMPERS (SAMUEL),Gompers  #2 - South,North of Kildare entrance on foster,4222 W FOSTER AVE,7.85,4/18/17,,,47.9,9/1/17,,,,,49.4,38,15
GOMPERS (SAMUEL),Gompers  #3 - High,West of playground,4222 W FOSTER AVE,2.44,4/18/17,,,,,,,,,6.66,,
GOMPERS (SAMUEL),Gompers  #3 - Middle,West of playground,4222 W FOSTER AVE,2.35,4/18/17,,,,,,,,,6.78,,
GOMPERS (SAMUEL),Gompers  #3 - Low,West of playground,4222 W FOSTER AVE,2.48,4/18/17,,,,,,,,,6.82,,
GOMPERS (SAMUEL),Gompers  #4,Pool deck,4222 W FOSTER AVE,7.49,4/18/17,,,50.1,6/30/17,,,,,24.1,62,10
GOMPERS (SAMUEL),Gompers  #5 - High,"Gompers Monument, at Foster and Pulaski",4222 W FOSTER AVE,<2.0,4/19/17,,,,,,,,,0.431,,
GOMPERS (SAMUEL),Gompers  #5 - Low,"Gompers Monument, at Foster and Pulaski",4222 W FOSTER AVE,<2.0,4/19/17,,,,,,,,,0.472,,
GOMPERS (SAMUEL),Gompers  #6,"North of Keeler parking lot, near tennis courts",4222 W FOSTER AVE,<2.0,4/19/17,,,,,,,,,0.988,,
GOMPERS (SAMUEL),Gompers  #7,"On path, north of basketball court, south of the lagoon",4222 W FOSTER AVE,<2.0,4/19/17,,,,,,,,,<0.12,,
GOMPERS (SAMUEL),Gompers  #8,"On path, southeast of casting pier",4222 W FOSTER AVE,<2.0,4/19/17,,,15.7,6/30/17,,,,,39.8,65,<2.0
GOMPERS (SAMUEL),Gompers  #9,"On path, across lagoon from casting pier",4222 W FOSTER AVE,<2.0,4/19/17,,,8.81,6/30/17,,,,,61.7,100,2.6
GOOSEBERRY,Gooseberry  #1 - High,NEAR ENTRANCE ON MALDEN,4648 N MALDEN ST,<2.0,5/15/17,,,,,,,,,60,,
GOOSEBERRY,Gooseberry  #1 - Low,NEAR ENTRANCE ON MALDEN,4648 N MALDEN ST,2.07,5/15/17,,,,,,,,,-,,
GOUDY (WILLIAM) SQUARE,Goudy Square #1 - High,Center of playground,1255 N ASTOR ST,<2.0,4/18/17,,,,,,,,,<2.0,,
GOUDY (WILLIAM) SQUARE,Goudy Square #1 - Middle,Center of playground,1255 N ASTOR ST,<2.0,4/18/17,,,,,,,,,<2.0,,
GOUDY (WILLIAM) SQUARE,Goudy Square #1 - Low,Center of playground,1255 N ASTOR ST,<2.0,4/18/17,,,,,,,,,<2.0,,
GRAND,Grand  #1,Near park entrance on Grand,3531 W GRAND AVE,3.87,4/7/17,,,36,6/27/17,,,,,54.2,38,9
GRAND CROSSING,Grand Crossing  #1,"EAST DOOR TO FIELDHOUSE, BY BASKETBALL COURT",7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,2.43,,
GRAND CROSSING,Grand Crossing  #2,NORTHEAST OF PARKING LOT,7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,9,,
GRAND CROSSING,Grand Crossing  #3,SOUTH OF TENNIS COURTS,7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,1.05,,
GRAND CROSSING,Grand Crossing  #4,"BETWEEN SOUTH BASEBALL DIAMONDS, IN FIELD, AT 78TH AND ELLIS",7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,9.75,,
GRAND CROSSING,Grand Crossing  #5,1ST BASELINE OF NW DIAMOND,7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,6.74,,
GRAND CROSSING,Grand Crossing  #6 - High,WEST SIDE OF PARKING LOT,7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,4.87,,
GRAND CROSSING,Grand Crossing  #6 - Low,WEST SIDE OF PARKING LOT,7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,4.14,,
GRAND CROSSING,Grand Crossing  #7 - High,"WEST DOOR TO FIELDHOUSE,  EAST OF PLAYGROUND",7655 S INGLESIDE AVE,<2.0,4/20/17,,,,,,,,,10.1,,
GRAND CROSSING,Grand Crossing  #7 - Low,"WEST DOOR TO FIELDHOUSE,  EAST OF PLAYGROUND",7655 S INGLESIDE AVE,3.68,4/20/17,,,,,,,,,6.18,,
GRAND CROSSING,Grand Crossing  #8 - High,POOK DECK,7655 S INGLESIDE AVE,-,,,,,,,,,,-,,
GRAND CROSSING,Grand Crossing  #8 - Low,POOK DECK,7655 S INGLESIDE AVE,-,,,,,,,,,,-,,
GRANT (ULYSSES),Grant  #1,On path near 10-mile marker,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #2,Randolph comfort station,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #3,North side - Butler Field,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,4.3,,
GRANT (ULYSSES),Grant  #4 - High,"East of LSD at Jackson, middle path",331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #4 - Low,"East of LSD at Jackson, middle path",331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #5 - Main Fountain,East side of Butler Field,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #5 - Trough-5A,East side of Butler Field,331 E RANDOLPH ST,<2.0,4/26/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #5 - Trough-5B,East side of Butler Field,331 E RANDOLPH ST,<2.0,4/26/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #5 - Trough-5C,East side of Butler Field,331 E RANDOLPH ST,<2.0,4/26/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #5 - Trough-5D,East side of Butler Field,331 E RANDOLPH ST,<2.0,4/26/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #6,West side of Butler Field,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #7,South side of Butler Field,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #8 - High,North east rose garden,331 E RANDOLPH ST,<2.0,4/10/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #8 - Low,North east rose garden,331 E RANDOLPH ST,<2.0,4/10/17,,,,,,,,,2.3,,
GRANT (ULYSSES),Grant  #9 - High,Northwest rose garden,331 E RANDOLPH ST,<2.0,4/10/17,,,,,,,,,11,,
GRANT (ULYSSES),Grant  #9 - Low,Northwest rose garden,331 E RANDOLPH ST,<2.0,4/10/17,,,,,,,,,5.4,,
GRANT (ULYSSES),Grant  #10,North comfort men's room,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #11,North comfort women's room,331 E RANDOLPH ST,<2.0,4/4/17,,,,,,,,,<2.0,,
GRANT (ULYSSES),Grant  #12 - High,"Northeast hedges, near Crane Girl",331 E RANDOLPH ST,-,,,,,,,,,,-,,
GRANT (ULYSSES),Grant  #12 - Low,"Northeast hedges, near Crane Girl",331 E RANDOLPH ST,-,,,,,,,,,,-,,
